File,Status
kubeflow__pipelines__collected_parameters.py,❌ ImportError: cannot import name 'pipeline' from 'kfp' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/__init__.py)
ferneutron__mlops__register.py,❌ NameError: name 'dsl' is not defined
s102401002__kubeflowPipeline2__kubeflowPipeline_xgboost.py,❌ TypeError: Missing type annotation for argument: url1
xxxtrillionarie__KubeFlow_MLOps_Pipelines__fail_test.py,❌ AttributeError: module 'kfp.components' has no attribute 'component'
kubeflow__pipelines__collected_artifacts.py,❌ ImportError: cannot import name 'pipeline' from 'kfp' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/__init__.py)
9rince__kfp__parameter_with_format_test.py,❌ NameError: name 'dsl' is not defined
dvdbisong__kubeflow-for-poets__crypto_pipeline.py,❌ ImportError: cannot import name 'bigquery' from 'google.cloud' (unknown location)
levitomer__kubeflow-pipeline-demo__pipeline.py,❌ ValueError: No pipeline function found.
stackdemos__joe-kubeflow-test__component.py,❌ ImportError: cannot import name 'pipeline' from 'kfp' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/__init__.py)
generic__generic_pipeline.py,❌ TypeError: 'TypeVar' object is not callable
Ark-kun__pipeline_components__train_until_good.py,❌ ModuleNotFoundError: No module named 'ark_kun'
stackdemos__kfappx__component.py,❌ NameError: name 'dsl' is not defined
e2fyi__kfx___transformers.py,❌ TypeError: Missing type annotation for argument: container_op
jonrossclaytor__kubeflow-mlb__baseball-pipeline-single.py,❌ ImportError: cannot import name 'gcp' from 'kfp.components' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/components/__init__.py)
fybrik__kfp-components__pipeline-tekton.py,❌ ImportError: cannot import name 'get_endpoint' from 'kfp.components' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/components/__init__.py)
jonrossclaytor__kubeflow-mlb__baseball-pipeline-branch.py,❌ ModuleNotFoundError: No module named 'baseball_pipeline_branch'
kubeflow__pipelines__lightweight_python_functions_v2_pipeline.py,❌ ImportError: cannot import name 'Input' from 'kfp.components' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/components/__init__.py)
shashnavad__wine-quality-mlops__wine_quality_pipeline-checkpoint.py,❌ AttributeError: fit
StatCan__aaw-kubeflow-mlops__default.py,❌ AttributeError: module 'kfp.components' has no attribute 'Start'
xxxtrillionarie__KubeFlow_MLOps_Pipelines__fail.py,❌ AttributeError: module 'kfp.components' has no attribute 'component'
redhat-ai-services__kubeflow-pipelines-examples__10_mount_pvc_pipeline.py,❌ ImportError: cannot import name 'pipeline' from 'kfp' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/__init__.py)
e2fyi__kfx___artifact_location.py,❌ NameError: name 'dsl' is not defined
xxxtrillionarie__KubeFlow_MLOps_Pipelines__fail_parameter_value_missing.py,❌ AttributeError: module 'kfp.components' has no attribute 'component'
s102401002__kubeflowPipeline0722__stroke_prediction.py,❌ TypeError: Missing type annotation for argument: data
s102401002__kubeflowPipeline__kubeflowPipeline0722.py,❌ NameError: name 'dsl' is not defined
pavan-kumar-99__ml-ops__dependency-pipeline.py,❌ ImportError: cannot import name 'pipeline' from 'kfp' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/__init__.py)
kubeflow__pipelines__pipeline_with_env.py,❌ ImportError: cannot import name 'pipeline' from 'kfp' (/home/ilyes101/.local/lib/python3.10/site-packages/kfp/__init__.py)
