File,Status
kubeflow__pipelines__collected_parameters.py,❌ NameError: name 'List' is not defined
s102401002__kubeflowPipeline2__kubeflowPipeline_xgboost.py,❌ KeyError: 'predictions'
xxxtrillionarie__KubeFlow_MLOps_Pipelines__fail_test.py,❌ NameError: name 'dsl' is not defined
kubeflow__pipelines__collected_artifacts.py,❌ NameError: name 'List' is not defined
9rince__kfp__parameter_with_format_test.py,❌ NameError: name 'dsl' is not defined
dvdbisong__kubeflow-for-poets__crypto_pipeline.py,❌ TypeError: Missing type annotation for argument: target_bucket
levitomer__kubeflow-pipeline-demo__pipeline.py,❌ InconsistentTypeException: Incompatible argument passed to the input 'input_data' of component 'component1': Argument type 'STRING' is incompatible with the input type 'system.Dataset@0.0.1'
stackdemos__joe-kubeflow-test__component.py,❌ KeyError: 'download_to'
Ark-kun__pipeline_components__train_until_good.py,❌ NameError: name 'dsl' is not defined
stackdemos__kfappx__component.py,❌ TypeError: Compiler.compile() missing 1 required positional argument: 'package_path'
e2fyi__kfx___transformers.py,❌ TypeError: Missing type annotation for argument: container_ops
jonrossclaytor__kubeflow-mlb__baseball-pipeline-single.py,❌ TypeError: component() got an unexpected keyword argument 'name'
fybrik__kfp-components__pipeline-tekton.py,❌ NameError: name 'get_data_endpoints' is not defined
jonrossclaytor__kubeflow-mlb__baseball-pipeline-branch.py,❌ TypeError: 'type' object is not subscriptable
kubeflow__pipelines__lightweight_python_functions_v2_pipeline.py,❌ NameError: name 'dsl' is not defined
shashnavad__wine-quality-mlops__wine_quality_pipeline-checkpoint.py,❌ TypeError: Unexpected type annotation '<ast.Subscript object at 0x7f5f5d759030>' for <function wine_quality_pipeline at 0x7f5f5d761ab0>.
StatCan__aaw-kubeflow-mlops__default.py,❌ TypeError: unsupported operand type(s) for >>: 'PipelineTask' and 'PipelineTask'
xxxtrillionarie__KubeFlow_MLOps_Pipelines__fail.py,❌ TypeError: Compiler.compile() missing 1 required positional argument: 'package_path'
redhat-ai-services__kubeflow-pipelines-examples__10_mount_pvc_pipeline.py,❌ TypeError: component() got an unexpected keyword argument 'name'
e2fyi__kfx___artifact_location.py,❌ NameError: name 'dsl' is not defined
xxxtrillionarie__KubeFlow_MLOps_Pipelines__fail_parameter_value_missing.py,❌ TypeError: Missing type annotation for argument: text
s102401002__kubeflowPipeline0722__stroke_prediction.py,❌ TypeError: 'TypeVar' object is not callable
s102401002__kubeflowPipeline__kubeflowPipeline0722.py,❌ AttributeError: 'function' object has no attribute 'Component'
pavan-kumar-99__ml-ops__dependency-pipeline.py,❌ TypeError: Missing type annotation for argument: input_data
kubeflow__pipelines__pipeline_with_env.py,❌ NameError: name 'dsl' is not defined
glukicov__llm_pipelines_demo__demo.py,❌ TypeError: component() got an unexpected keyword argument 'name'
stackdemos__ml-kbf__component.py,❌ InconsistentTypeException: Incompatible argument passed to the input 'input_dataset' of component 'train-model': Argument type 'STRING' is incompatible with the input type 'system.Dataset@0.0.1'
NusretOzates__autonlp-classification-kubeflow__pipeline.py,❌ TypeError: Artifact.__init__() got an unexpected keyword argument 'description'
xxxtrillionarie__KubeFlow_MLOps_Pipelines__parameter_with_format.py,❌ NameError: name 'dsl' is not defined
rakesh283343__kubeflow-pipelines-clv__helper_components.py,❌ TypeError: Unexpected type annotation '<ast.Subscript object at 0x7f5f5d758d00>' for <function load_transactions at 0x7f5f5d761e10>.
9rince__kfp__legacy_data_passing_test.py,"❌ TypeError: Components must be instantiated using keyword arguments. Positional parameters are not allowed (found 5 such parameters for component ""legacy-data-passing-test"")."
9rince__kfp__after_test.py,❌ NameError: name 'dsl' is not defined
kubeflow__pipelines__pipeline_with_input_status_state.py,❌ NameError: name 'dsl' is not defined
rakesh283343__kubeflow-sample-pipelines__exit_handler.py,❌ NameError: name 'dsl' is not defined
hermesribeiro__kubeflow_pytorch__pipeline.py,❌ AttributeError: 'TypeVar' object has no attribute 'Dataset'
9rince__kfp__lightweight_python_functions_v2_pipeline.py,❌ NameError: name 'dsl' is not defined
getindata__kedro-kubeflow__pod_per_node_pipeline_generator.py,❌ NameError: name 'dsl' is not defined
Alexander6463__Kubeflow_MNIST__pipeline_dev.py,❌ NameError: name 'input_bucket' is not defined
speg03__kfp-toolbox__test_pipeline_parser.py,❌ NameError: name 'dsl' is not defined
aiffel-socar-cv__kubeflow-pipeline__retrain_pipeline.py,❌ NameError: name 'dsl' is not defined
e2fyi__kfx___artifact_location_test.py,❌ TypeError: Missing type annotation for argument: workflow_name
tonouchi510__kfp-project__head-pose-dataset-pipeline.py,❌ NameError: name 'dsl' is not defined
redhat-ai-services__kubeflow-pipelines-examples__06_visualization_pipeline.py,❌ NameError: name 'dsl' is not defined
kubeflow__pipelines__pipeline_container_no_input.py,❌ TypeError: component() got an unexpected keyword argument 'name'
sanghunmoon__pytorch_classifier_pipeline__pipeline.py,❌ AttributeError: module 'kfp.dsl' has no attribute 'container_op'
ferneutron__mlops__utils.py,❌ NameError: name 'dsl' is not defined
baebae-dev__kubeflow-pipelines__pipeline.py,❌ TypeError: 'TypeVar' object is not callable
pavan-kumar-99__ml-ops__echo-sh.py,❌ NameError: name 'dsl' is not defined
sbakiu__ml-kf-pipeline__tokenize_pipeline.py,"❌ TypeError: tokenize-pipeline() got an unexpected keyword argument ""output_dataset""."
pavan-kumar-99__ml-ops__getDataFromRawUri.py,"❌ TypeError: Artifacts must have both a schema_title and a schema_version, separated by `@`. Got: Response"
akranga__machine-learning1__component.py,"❌ TypeError: Components must be instantiated using keyword arguments. Positional parameters are not allowed (found 3 such parameters for component ""download-artifact"")."
redhat-ai-services__kubeflow-pipelines-examples__02_submitted_pipeline_via_route.py,❌ NameError: name 'dsl' is not defined
kubeflow__pipelines__metrics_visualization_v2.py,❌ TypeError: component() got an unexpected keyword argument 'name'
rakesh283343__kubeflow-pipelines-clv__batch_predict_pipeline.py,❌ KeyError: 'output_dataset'
tuhinaprasad28__Machine-Learning-Pipeline-using-Kubeflow__pipeline.py,❌ TypeError: Missing type annotation for argument: download_data_yaml
tonouchi510__kfp-project__simple-training-pipeline.py,❌ TypeError: 'TypeVar' object is not callable
